Cleaned_Comments,Theme
"prolife 
funny that states with the harshest abortion policies also have barnone the worst social support networks set up",social
so disgusting the anti intellectual puritan streak in the states,social
the majority of texan voted for him now they are stuck with him vote him out ladies,political
people of texas can only blame themselves for choosing the wrong candidate hopefully when its time for election they will not forget all these things and pick the right  qualified candidate,political
"she can leave texas to get an abortion and spare us the histrionics 
if she were really in desperate circumstances she would have not wasted any time on lawyers and court proceedings 
shes doing this for the drama 

its not unusual for people truly in need of lifesaving medical care to cross state lines to get it sometimes the facility best  equipped to meet your needs is in another state",legal
"i have not seen anyone who has a true understanding of what the texas abortion kate cox case is really about  

what we need to understand is this is not about protecting unborn life aside from religion  it has everything to do with religion the belief in gods will is very strong in the new republican party  the belief that we must accept gods will is absolute for them  we are not supposed question gods decisions and we wont always understand his plan  

if you grew up in a baptist household like i did you understand this but this dogma is never spoken aloud in the political realm you can accept medical help to save the babys life or the mothers life but line is  you have to understand what is gods will because only god can decide who lives and who dies  there is no reasonable way for these extremist republicans to answer this question in a legal or sciencebased sense therefore republicans will continue struggle with this issue and look like sadists to the rest of us  we need to bring this to the forefront as their weakness  

my grandfather was a famous southern baptist preacher from texas so understanding this deeply held belief is important  it is the evangelists mantra that we cannot understand gods plan so we have to accept whatever happens as part of his plan and still accept what he does as somehow a good thing  

we need to make them admit that this is a religious issue not based on science  they are making the argument based on emotion and pseudoscience but it is not really the basis for their desire to control a womans body  it is all about gods will and his plan and that is impossible to define because we can never hope to understand gods plan

i wish someone would talk about this  thanks",legal
for gods sake wake up america,social
so true second class citizenship like in the middle east where women cant decide their own fate cant even drive,social
and that goes for their own women,ethical
"just as the bible commands
christianity is a wretched thing",ethical
2nd class citizens imply they still treat women as human beings on some level but this isnt the case republicans only treat women as their livestock and slaves,social
to bad we cant kick texas out of the union,political
the problem with abortions in texas is the fact you can sue the doctor over it if i were to perform an abortion and considered it medically necessary for the mother to live and she comes out fine anyone could still legally sue me in a court i could still lose my medical license because she did fine and the jury didnt think her life was at risk at the time of the abortion therefore no doctor is willing to perform an abortion for any reason,legal
texas certainly has doubled down to make war on women  women still die of pregnancy complications or childbirth,legal
"this is second class citizenship for women

gop response  and",social
next state referendum in texas changing the name of the state to gilead,political
separation of church and state is still a thing except when youre female happen to be pregnant but in need of an abortion and living in the state of texas paxton is not a medical doctor so why does he feel the need to enforce these disgusting laws besides showing religious muscle this is a blaintant violarion of human rights,legal
257307 nuff said not to mention theres not 1 law that has courts deciding what a man can do to his body,legal
i am glad i live in california she and her family need to leave texas  i hope all works out for her prayer be with her and her family,social
get your hajabs and berkas out ladies  if they get their way you will be barefoot and pregnant in the kitchen of the master of the house,social
in the seventies the saying was  you have come a long way baby now the saying is we own your body and we will track you down if you try to leave the state or buy birth control that is a giant step back but i am a guy so if they are not united to vote out those want them to be a second class citizen then i say too bad maybe they will want them to cover up like muslim women in the next election women grow a pair if you want to be like us texas is still red with abbott  paxton and trump with a lead in 2024,political
reminder the equal rights amendment has never been ratified,legal
i wonder how long until the texas  misogynists decide to punish women who seek medical care outside the state   or who suffer a spontaneous abortion  miscarriage will women in this case have to proove that they did nothing to contribute to that spontaneous abortion ,legal
women in america are absolutely 2nd class citizens in the eyes of republicans are you still calling yourselves the land of the free,social
lol texas who do these white texas men think they are joe rogan,political
too many men just dont get the facts about pregnancy and all the related issues their black or white thinking is a killer or at the leastcruelty to the max shame on them,social
its about control and forcing their religious beliefs onto everyone  these are the worst types of people,social
the us republicans with their extreme religious beliefs dragging down the country to the level of barbarism a banana republic,social
this is what happens when politicians think that they understand the divine will better than the gd himself texas currently has stricter antiabortion legislation than saudi arabia,legal
this is what makes america great again bunch of b s get these men out of power,social
she had some cramping and some leakage that indicates the body is about to naturally flush out an unviable baby which happens in animals too if a baby animal is unviable it will either b stillborn or the uterus will detect the abnormality and will just expel it,legal
from the advice of dr paxton the guy that looks like he burned out last century,legal
who cares red team is winning soon u all will be slaves including me so cry some more it is the stupid dnc got to get messaging and the stupid dems senators and house folks,political
that guys proven to be a corrupt attorney and where is lee harvey oswald when you need him,legal
welcome to the new united dictatorship of america,political
what about vasectomies are they going to ban those too after all theres lots of half a baby in there,legal
it should be a nobrainer that these women need to get this care mindblowing how a bunch of old crusty men can decide what a woman can and cannot do with their own body,ethical
third class actually 1 white men 2 fetuses 3 females,social
anything that dont affect their lives personally they dont care about racism dont care it dont affect them school shootings dont care it dont affect them r dont care it dont affect them this issue dont care it dont affect them im wondering if the wife or daughter got r by a black or brown man what would they do then,social
time to vote the trash out ladies our bodies do not belong to the government and these men who want to push us back in the house,political
pro life repulicans are some of the biggest hypocrites on earth my god,ethical
this whole thing is agenda 21 go read it it explains everything the author is glen beck,ethical
isnt this practicing medicine without a license  why are legislators able to make health care decisions,legal
has ken paxtons female family members have to deal with these problems,social
she should be allowed to have  her abortion it amazes me that we are going through this fight again women have to vote out these men and women who want to control other peoples lives this is trumps reality and his cronies in congress the supreme court people will say trump is for abortion he lies through his teeth he will say anything to get what he wants vote blue so we can move forward not backwards,legal
why would any woman want to live in texas  im genuinely asking,social
the only way you can change this is to vote or actively run for office yourself,political
they are not the party of prolife they are the party of probirth prodeath and antiwomen,social
you women need to rise up and put your political power to work how dare some old dude mandate your bodythat should be between doctor and patient  not up for debate rise up vote blue and to ken if your are so concerned about unwanted pregnancy how bout we denut irresponsible menhow bow da ken,social
im a republican i hope she sees the heck out of texas and and all the republicans all the republican im voting down the line democrat i will never vote republican,political
medical professionals should refuse services to all republicans no exceptions,political
this is crazy  if we didnt  have the scotus  overturn roe all this madness and suffering would never happen  then we have one lunatic  politician compound  this misery why does the public allow this to happen paxton should be arrested  and put in jail  and the taxpyers are paying for this circus,legal
oh yeah there attorney general is corrupt   he should be in prison,legal
we the majority are going to show the repulsive gop they have once again underestimated female and younger voters we will be voting out all gop leaders we will prevail once again,political
that  woman needs to move to a state where she can get an abortion everyone should be leaving texas thats  because texas is the worst state in this union i believe we should let them become their own country take away all their federal funding and let the mexicans and the cartels take back texas   had enough of texas take all their federal funding away and i bet texas will change their minds,social
just use birth control and quit killing babies,social
i wonder how many times paxton may have overheard his parents wishing they had aborted him when he was a little boy that may be why he turned out so full of anger toward women,political
i keep saying people better stop worrying about bidens age vote every bad republican that support trump out of office vote biden back in office and all the radical republicans out to be clear  i dont believe all the republicans are bad,political
bless this woman for being so strong against these tyrant leaders,ethical
typical republicans passing a law with no room to moveits a blank documenti wish republicans were not illiterate,political
only in the maga america vote the republicans out what a miscarriage of justice about controlling women not about the fetus,political
paxton should be jailed for preasureing women to die,legal
_ women are indeed 2nd class citizens in republican eyes  very much 2nd class citizens to us citizens specially us women enjoy being 2nd class citizens and the threesomes that you are religiously allowed to participate in but dont you dare get pregnant doing those threesomes  ,social
misogyny is the gift of the devil,ethical
abortion should be based on the right to self defense carrying a child to full term is the most dangerous endeavor most women will ever take on up to the point the abortion becomes more dangerous than completing the process to a live birth it should be the mothers decision why is this any different than a stand your ground law that allows up to lethal force to defend ones self and family,legal
im just glad at this point texas cant be allowed to bring back segregation or slavery trying to violate womens rights to get medical care for lifesaving for political political just crazy,social
he has to go vote this attorney general out along with this texas supreme court,legal
its not safe to be pregnant in texas plain and simple  ladies its time to get out of texas,legal
texas to protect thesanctity of life even if it kills every women in the state ag paxton,legal
what life do these people think they are saving this baby will only live hours if that,ethical
the second come of jesus will be a caucasian baby and that the reason the far right want to stop all abortion of caucasian baby,social
texas is full of idiots that claim they want to hang all them bad boys from a tall oak tree but so far all ive seen them do is elect them to government office it sure seems like texans dont want women to be equal citizens but just want them to be breeding slaves im thinking maybe they should wake up before they get woke up,political
wake up americans this could be your daughtersgranddaughters  its horrifying to think because of a bunch of crazies this could be anyone now i fear for  all who could lose loved ones,social
ken paxton should be in prison for fraud and tax evasion with his criminal buddy trump and gregg abbott,political
women of texas vote those btar out  you are not second class citizens nor are your daughters your sisters your mothers your nieces  please get out to vote at the next elections in your state,political
ken paxton should not be in office he threw out 2 million plus ballots to help the gop hold on to office  beto won,political
welcome to the texas theocracy where you cant get stoned but can be stoned to death sounds like the faux xristian version of iran here in the southern us,political
republicans hate women and want to turn us into chattel,political
us americans arent there more important issues in the world stop controlling women just let them live and move on,social
i wonder if those people know how evil it is to drive a wedge between men and women in fact men have loved and cared for women throughout human history,ethical
paxton thinks he has the right to sit in moses seat and impose the law ,political
republicans are making women a second class citizen  this is bigger than abortion   control over own bodies disgusting ,social
all i can say is you elected trump and put the republicans in power who are deciding if you should receive healthcare at all  i would vote democrat from now on to ensure you have a right to receive healthcare by the way wasnt that piece of feiyu trump bragging about overturning roe versus wade you elected him so you have no one to blame but yourself,legal
its a power trip thats the republican party,political
texas was the last state to accept women as full citizens and not chatel of a man ,legal
amazing the country is watching texas turn into the countrys version the talibans afghanistan every day  how long before abbott and his gang of christian zealots require women to full comply with his version of biblical or should i say sharia law,legal
that man right there is a indicted criminal  and hes making decisions on a womans body  yikes,ethical
this sickening decision puts the state of texas on par with the afghan taliban regime a middleages dictatorship,political
womens voice are their votes  well the gop knows that so the next thing theyll do is start taking away womens votes,political
this should put fear in every single person in america,social
"its more than 2nd class citizenship its repression and domination
why arent we looking at the  spent on viagara by the military every year",social
if republicans get  the presidency this will be federal law thats our future ,political
let paxton be the cnt that he is the gop will lose bigly in 2024 after this,political
this is sick women cant even make decisions to save their own lives to save their fertility all because a dead or dying fetus has more rights than women all because these sick men want to punish women disgusting,ethical
i dont know why mika thinks this is unbelievable since this is what the tx lawmakers wanted from the beginning duhhhh,political
republicans are not prolife they are procontrol over people they dont believe are full participants of this american democracy,political
130 i know that attorney get threats attorney for reproductive rights oh god ,legal
ken paxton look like an ex serial killer just look at the face   got that michael myers look going on,legal
these texans are cat  crazy,political
"after i heard years ago trumps audio about how he can grab young woman by the puy whenever he wants i was very sure that there is no women in the world who would vote that man 
how wrong i was
after roe and all the political ploys to reduce womens rights i still wonder how in the world there are women so stupid that they can vote for any republican ever but yes they still support the gop despite the fact that it puts all menstruating girls and women in danger
grazy",political
its a good thing that she went out of state and got the health care she needed,social
we are voting they arent listening no matter how many times we use it time to take this in another direction,political
politicians and lawyers are trying to scare women and doctors perhaps we should start scaring lawyers and politicians now,social
in this situation if the baby survives the birth the baby will suffer for the extremely minimal time the baby would be alive and would then die a painful death  how can these law makers say they care about babies and demand the suffering of the mother and the child  this is not godly  this is mandated cruelty in other words evil,ethical
so because shes a texan she doesnt want to flee to get the necessary healthcare so you want to take necessary risk god forbid if something hapens to you because of a radical and ignorant person have u thouht about your husband and chidren do you want to be martyr well good luck because they dont care,social
how could u want to be a texan if u want to fight vote these people out,political
paxton is a vile corrupt snake and his wife backing him must hate women,political
if this doesnt help flip texas i dont know what else will just sad,social
